,pref_name,station_cd,station_g_cd,station_name,line_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,x,y
76,北海道,1110320,1110320,大麻,11103,069-0854,江別市大麻中町,141.496925,43.072382,,,0,1414969.25,-430723.81999999995
77,北海道,1110321,1110321,野幌,11103,069-0813,江別市野幌町,141.52983999999998,43.092559,,,0,1415298.3999999997,-430925.59
78,北海道,1110322,1110322,高砂,11103,067-0074,江別市高砂町,141.540752,43.100084,,,0,1415407.52,-431000.84
79,北海道,1110323,1110323,江別,11103,067-0071,江別市萩ケ岡,141.55678999999998,43.110189,,,0,1415567.8999999997,-431101.88999999996
80,北海道,1110324,1110324,豊幌,11103,067-0021,江別市豊幌,141.62466,43.136446,,,0,1416246.6,-431364.46
81,北海道,1110325,1110325,幌向,11103,069-0371,岩見沢市幌向南１条３丁目,141.655839,43.151348,,,0,1416558.39,-431513.48
82,北海道,1110326,1110326,上幌向,11103,069-0362,岩見沢市上幌向南１条４丁目,141.71539099999998,43.18183,,,0,1417153.91,-431818.3
83,北海道,1110327,1110327,岩見沢,11103,068-0034,岩見沢市有明町南,141.75935900000002,43.204201,,,0,1417593.59,-432042.00999999995
84,北海道,1110328,1110328,峰延,11103,072-0000,美唄市峰延,141.814673,43.264694,,,0,1418146.73,-432646.94
85,北海道,1110329,1110329,光珠内,11103,072-0000,美唄市光珠内,141.84465500000002,43.292658,,,0,1418446.5500000003,-432926.58
86,北海道,1110330,1110330,美唄,11103,072-0012,美唄市東一条南２丁目,141.862157,43.330751,,,0,1418621.57,-433307.51
87,北海道,1110331,1110331,茶志内,11103,079-0261,美唄市茶志内町,141.87336000000002,43.369842,,,0,1418733.6,-433698.42
88,北海道,1110332,1110332,奈井江,11103,079-0313,空知郡奈井江町本町１区,141.889115,43.423718,,,0,1418891.1500000001,-434237.18
89,北海道,1110333,1110333,豊沼,11103,073-0138,砂川市豊沼町,141.90103200000001,43.464224,,,0,1419010.32,-434642.24
90,北海道,1110334,1110334,砂川,11103,073-0152,砂川市東２条北２丁目,141.909642,43.493468,,,0,1419096.42,-434934.68
91,北海道,1110335,1110335,滝川,11103,073-0031,滝川市栄町４丁目,141.90080700000001,43.555278,,,0,1419008.07,-435552.78
92,北海道,1110336,1110336,江部乙,11103,079-0462,滝川市江部乙町西町１２丁目,141.93593700000002,43.627564,,,0,1419359.3700000003,-436275.64
93,北海道,1110337,1110337,妹背牛,11103,079-0500,雨竜郡妹背牛町字妹背牛,141.966591,43.690841,,,0,1419665.91,-436908.41
94,北海道,1110338,1110338,深川,11103,074-0001,深川市１条,142.041642,43.721021,,,0,1420416.42,-437210.21
95,北海道,1110339,1110339,納内,11103,078-0151,深川市納内町字納内,142.13007199999998,43.732509,,,0,1421300.7199999997,-437325.09
96,北海道,1110340,1110340,伊納,11103,070-8052,旭川市江丹別町春日,142.27167,43.763304999999995,,,0,1422716.7,-437633.04999999993
97,北海道,1110341,1110341,近文,11103,070-0821,旭川市近文町１９丁目,142.32532700000002,43.789193,,,0,1423253.2700000003,-437891.93
98,北海道,1110342,1110342,旭川,11103,070-0030,旭川市宮下通８丁目,142.357803,43.763492,,,0,1423578.0299999998,-437634.92
99,北海道,1110401,1110138,長万部,11104,049-3521,山越郡長万部町字長万部,140.37507,42.512477000000004,,,0,1403750.7,-425124.77
100,北海道,1110402,1110402,静狩,11104,049-5141,山越郡長万部町字静狩,140.460025,42.584065,,,0,1404600.25,-425840.65
101,北海道,1110403,1110403,小幌,11104,049-5333,虻田郡豊浦町字礼文華,140.537361,42.589731,,,0,1405373.61,-425897.31
102,北海道,1110404,1110404,礼文,11104,049-5333,虻田郡豊浦町字礼文華,140.595013,42.580422,,,0,1405950.13,-425804.22
103,北海道,1110405,1110405,大岸,11104,049-5332,虻田郡豊浦町字大岸,140.639036,42.585969,,,0,1406390.36,-425859.69
104,北海道,1110406,1110406,豊浦,11104,049-5412,虻田郡豊浦町字旭町,140.71536,42.580323,,,0,1407153.6,-425803.23
105,北海道,1110407,1110407,洞爺,11104,049-5611,虻田郡洞爺湖町旭町,140.763959,42.55055,,,0,1407639.59,-425505.5
106,北海道,1110408,1110408,有珠,11104,059-0151,伊達市有珠町,140.793969,42.513267,,,0,1407939.69,-425132.67
107,北海道,1110409,1110409,長和,11104,052-0035,伊達市長和町,140.833783,42.488262,,,0,1408337.83,-424882.62
108,北海道,1110410,1110410,伊達紋別,11104,052-0032,伊達市山下町,140.855802,42.469395,,,0,1408558.02,-424693.95
109,北海道,1110411,1110411,北舟岡,11104,052-0014,伊達市舟岡町,140.880259,42.450528000000006,,,0,1408802.5899999999,-424505.28
110,北海道,1110412,1110412,稀府,11104,059-0273,伊達市南稀府町,140.89883600000002,42.425567,,,0,1408988.36,-424255.67
111,北海道,1110413,1110413,黄金,11104,059-0271,伊達市南黄金町,140.907781,42.386441,,,0,1409077.81,-423864.41
112,北海道,1110414,1110414,崎守,11104,050-0055,室蘭市崎守町,140.92714099999998,42.373968,,,0,1409271.4099999997,-423739.68
113,北海道,1110415,1110415,本輪西,11104,050-0065,室蘭市本輪西町１丁目,140.977561,42.358734000000005,,,0,1409775.61,-423587.34
114,北海道,1110416,1110416,室蘭,11104,051-0023,室蘭市入江町１,140.97571000000002,42.317864,,,0,1409757.1,-423178.64
115,北海道,1110417,1110417,母恋,11104,051-0004,室蘭市母恋北町１丁目,140.990018,42.317295,,,0,1409900.18,-423172.95
116,北海道,1110418,1110418,御崎,11104,051-0001,室蘭市御崎町２丁目,140.99388100000002,42.329014,,,0,1409938.81,-423290.14
117,北海道,1110419,1110419,輪西,11104,050-0087,室蘭市仲町,141.005743,42.333775,,,0,1410057.43,-423337.75
118,北海道,1110420,1110420,東室蘭,11104,050-0083,室蘭市東町２丁目,141.02641100000002,42.349374,,,0,1410264.1100000003,-423493.74
119,北海道,1110421,1110421,鷲別,11104,059-0034,登別市鷲別町２丁目,141.04275900000002,42.35953,,,0,1410427.59,-423595.3
120,北海道,1110422,1110422,幌別,11104,059-0013,登別市幌別町３丁目,141.107293,42.409782,,,0,1411072.93,-424097.82
121,北海道,1110423,1110423,富浦,11104,059-0462,登別市富浦町１丁目,141.156878,42.441957,,,0,1411568.78,-424419.57
122,北海道,1110424,1110424,登別,11104,059-0466,登別市登別港町１丁目,141.18093100000002,42.45207,,,0,1411809.31,-424520.7
123,北海道,1110425,1110425,虎杖浜,11104,059-0641,白老郡白老町字虎杖浜,141.215092,42.464695,,,0,1412150.92,-424646.95
124,北海道,1110426,1110426,竹浦,11104,059-0642,白老郡白老町字竹浦,141.260395,42.49284,,,0,1412603.95,-424928.4
125,北海道,1110427,1110427,北吉原,11104,059-0923,白老郡白老町字北吉原,141.286199,42.509119,,,0,1412861.99,-425091.19
126,北海道,1110428,1110428,萩野,11104,059-0922,白老郡白老町字萩野,141.30603,42.521159000000004,,,0,1413060.2999999998,-425211.59
127,北海道,1110429,1110429,白老,11104,059-0904,白老郡白老町東町１丁目,141.360054,42.55474,,,0,1413600.5399999998,-425547.4
128,北海道,1110430,1110430,社台,11104,059-0901,白老郡白老町字社台,141.41743300000002,42.578682,,,0,1414174.33,-425786.82
129,北海道,1110431,1110431,錦岡,11104,059-1275,苫小牧市字錦岡,141.48722,42.6025,,,0,1414872.2000000002,-426025.0
130,北海道,1110432,1110432,糸井,11104,053-0816,苫小牧市日吉町３丁目,141.546187,42.6225,,,0,1415461.87,-426225.0
131,北海道,1110433,1110433,青葉,11104,053-0807,苫小牧市青葉町１丁目,141.568278,42.62999,,,0,1415682.78,-426299.89999999997
132,北海道,1110434,1110434,苫小牧,11104,053-0022,苫小牧市表町６丁目,141.59683700000002,42.639665,,,0,1415968.37,-426396.65
133,北海道,1110501,1110434,苫小牧,11105,053-0022,苫小牧市表町６丁目,141.59683700000002,42.639665,,,0,1415968.37,-426396.65
134,北海道,1110502,1110502,沼ノ端,11105,059-1364,苫小牧市字沼ノ端,141.69313200000002,42.672057,,,0,1416931.3200000003,-426720.57
135,北海道,1110503,1110503,遠浅,11105,059-1433,勇払郡安平町遠浅,141.769568,42.729533,,,0,1417695.68,-427295.33
136,北海道,1110504,1110504,早来,11105,059-1501,勇払郡安平町早来大町,141.814106,42.765237,,,0,1418141.06,-427652.37
137,北海道,1110505,1110505,安平,11105,059-1511,勇払郡安平町安平,141.825283,42.814007000000004,,,0,1418252.83,-428140.07000000007
138,北海道,1110506,1110506,追分,11105,059-1931,勇払郡安平町追分中央,141.810678,42.873315999999996,,,0,1418106.78,-428733.16
139,北海道,1110507,1110507,三川,11105,069-1200,夕張郡由仁町三川,141.800778,42.945029,,,0,1418007.78,-429450.29
140,北海道,1110508,1110508,古山,11105,069-1216,夕張郡由仁町字古山,141.793969,42.975256,,,0,1417939.69,-429752.56
141,北海道,1110509,1110509,由仁,11105,069-1216,夕張郡由仁町古山,141.785868,43.012206,,,0,1417858.68,-430122.06
