,line_cd,station_cd1,station_cd2
446,0,9932518,9930813
447,0,9933804,9932906
448,0,1130224,1130101
449,0,1130801,1130101
450,0,1131101,1130101
451,0,1131201,1130101
452,0,1131401,1130101
453,0,1132601,1130101
454,0,1132809,1130101
455,0,1133222,1130101
456,0,2800209,1130101
457,0,1130801,1130224
458,0,1131101,1130224
459,0,1131201,1130224
460,0,1131401,1130224
461,0,1132601,1130224
462,0,1132809,1130224
463,0,1133222,1130224
464,0,2800209,1130224
465,0,1131101,1130801
466,0,1131201,1130801
467,0,1131401,1130801
468,0,1132601,1130801
469,0,1132809,1130801
470,0,1133222,1130801
471,0,2800209,1130801
472,0,1131201,1131101
473,0,1131401,1131101
474,0,1132601,1131101
475,0,1132809,1131101
476,0,1133222,1131101
477,0,2800209,1131101
478,0,1131401,1131201
479,0,1132601,1131201
480,0,1132809,1131201
481,0,1133222,1131201
482,0,2800209,1131201
483,0,1132601,1131401
484,0,1132809,1131401
485,0,1133222,1131401
486,0,2800209,1131401
487,0,1132809,1132601
488,0,1133222,1132601
489,0,2800209,1132601
490,0,1133222,1132809
491,0,2800209,1132809
492,0,2800209,1133222
493,0,1130226,1130102
494,0,1130802,1130102
495,0,1133224,1130102
496,0,2800112,1130102
497,0,9930210,1130102
498,0,9931101,1130102
499,0,1130802,1130226
500,0,1133224,1130226
501,0,2800112,1130226
502,0,9930210,1130226
503,0,9931101,1130226
504,0,1133224,1130802
505,0,2800112,1130802
506,0,9930210,1130802
507,0,9931101,1130802
508,0,2800112,1133224
509,0,9930210,1133224
510,0,9931101,1133224
511,0,9930210,2800112
512,0,9931101,2800112
513,0,9931101,9930210
514,0,1130229,1130103
515,0,1130803,1130103
516,0,1132808,1130103
517,0,1133227,1130103
518,0,2700102,1130103
519,0,1130803,1130229
520,0,1132808,1130229
521,0,1133227,1130229
522,0,2700102,1130229
523,0,1132808,1130803
524,0,1133227,1130803
525,0,2700102,1130803
526,0,1133227,1132808
527,0,2700102,1132808
528,0,2700102,1133227
529,0,1132101,1130201
530,0,1133307,1130201
531,0,9933708,1130201
532,0,1133307,1132101
533,0,9933708,1132101
534,0,9933708,1133307
535,0,2600501,1130202
536,0,9930205,1130202
537,0,9930205,2600501
538,0,2600201,1130203
539,0,2800919,1130203
540,0,9930301,1130203
541,0,2800919,2600201
542,0,9930301,2600201
543,0,9930301,2800919
544,0,1132102,1130204
545,0,1133306,1130204
546,0,2800320,1130204
547,0,1133306,1132102
548,0,2800320,1132102
549,0,2800320,1133306
550,0,1132103,1130205
551,0,1132807,1130205
552,0,1133305,1130205
553,0,2400601,1130205
554,0,2600101,1130205
555,0,2600301,1130205
556,0,2800119,1130205
557,0,2800801,1130205
558,0,2801016,1130205
559,0,1132807,1132103
560,0,1133305,1132103
561,0,2400601,1132103
562,0,2600101,1132103
563,0,2600301,1132103
564,0,2800119,1132103
565,0,2800801,1132103
566,0,2801016,1132103
567,0,1133305,1132807
568,0,2400601,1132807
569,0,2600101,1132807
570,0,2600301,1132807
571,0,2800119,1132807
572,0,2800801,1132807
573,0,2801016,1132807
574,0,2400601,1133305
575,0,2600101,1133305
576,0,2600301,1133305
577,0,2800119,1133305
578,0,2800801,1133305
579,0,2801016,1133305
580,0,2600101,2400601
581,0,2600301,2400601
582,0,2800119,2400601
583,0,2800801,2400601
584,0,2801016,2400601
585,0,2600301,2600101
586,0,2800119,2600101
587,0,2800801,2600101
588,0,2801016,2600101
589,0,2800119,2600301
590,0,2800801,2600301
591,0,2801016,2600301
592,0,2800801,2800119
593,0,2801016,2800119
594,0,2801016,2800801
595,0,2800518,1130206
596,0,2801015,1130206
597,0,2801015,2800518
598,0,1131210,1130207
599,0,1131311,1130207
600,0,9930127,1130207
601,0,1131311,1131210
602,0,9930127,1131210
603,0,9930127,1131311
604,0,1131103,1130208
605,0,1131211,1130208
606,0,1131310,1130208
607,0,1132104,1130208
608,0,1132806,1130208
609,0,1133304,1130208
610,0,2400101,1130208
611,0,2400701,1130208
612,0,2500101,1130208
613,0,2800218,1130208
614,0,9930128,1130208
615,0,9930401,1130208
616,0,1131211,1131103
617,0,1131310,1131103
618,0,1132104,1131103
619,0,1132806,1131103
620,0,1133304,1131103
621,0,2400101,1131103
622,0,2400701,1131103
623,0,2500101,1131103
624,0,2800218,1131103
625,0,9930128,1131103
626,0,9930401,1131103
627,0,1131310,1131211
628,0,1132104,1131211
629,0,1132806,1131211
630,0,1133304,1131211
631,0,2400101,1131211
632,0,2400701,1131211
633,0,2500101,1131211
634,0,2800218,1131211
635,0,9930128,1131211
636,0,9930401,1131211
637,0,1132104,1131310
638,0,1132806,1131310
639,0,1133304,1131310
640,0,2400101,1131310
641,0,2400701,1131310
642,0,2500101,1131310
