,company_cd,company_name,company_name_h,company_name_k,company_name_r,company_type,company_url,e_status_x,e_status_y,has_station_data,is_bullet,lat,line_cd,line_name,line_name_h,line_name_k,lon,rr_cd,station_cd1,station_cd2,zoom
68,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141115,1141116,9.0
69,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141116,1141117,9.0
70,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141117,1141118,9.0
71,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141118,1141119,9.0
72,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141119,1141120,9.0
73,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141120,1141121,9.0
74,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141121,1141122,9.0
75,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141122,1141123,9.0
76,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141123,1141124,9.0
77,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141124,1141125,9.0
78,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141125,1141126,9.0
79,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141126,1141127,9.0
80,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141127,1141128,9.0
81,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141128,1141129,9.0
82,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141129,1141130,9.0
83,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141130,1141131,9.0
84,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141131,1141132,9.0
85,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141132,1141133,9.0
86,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141133,1141134,9.0
